Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Hunter Greene (22903897),Hunter Greene,22903897,P,7500,CIN@BOS 06/01/2022 07:10PM ET,CIN,13.44
SP,Garrett Whitlock (22903898),Garrett Whitlock,22903898,P,7000,CIN@BOS 06/01/2022 07:10PM ET,BOS,11.09
SP,Hyun Jin Ryu (22903899),Hyun Jin Ryu,22903899,P,6500,CWS@TOR 06/01/2022 07:07PM ET,TOR,7.43
SP,Jon Gray (22903900),Jon Gray,22903900,P,6400,TB@TEX 06/01/2022 08:05PM ET,TEX,10.7
SP,Kyle Bradish (22903903),Kyle Bradish,22903903,P,5800,SEA@BAL 06/01/2022 07:05PM ET,BAL,8.69
SS,Xander Bogaerts (22903915),Xander Bogaerts,22903915,SS,5500,CIN@BOS 06/01/2022 07:10PM ET,BOS,8.04
SS,Carlos Correa (22903921),Carlos Correa,22903921,SS,5200,MIN@DET 06/01/2022 07:10PM ET,MIN,7.14
SS,Tim Anderson (22903924),Tim Anderson,22903924,SS,5100,CWS@TOR 06/01/2022 07:07PM ET,CWS,9.32
SS,Willy Adames (22903937),Willy Adames,22903937,SS,4800,MIL@CHC 06/01/2022 08:05PM ET,MIL,8.31
SS,Corey Seager (22903938),Corey Seager,22903938,SS,4800,TB@TEX 06/01/2022 08:05PM ET,TEX,7.7
SS,Wander Franco (22903943),Wander Franco,22903943,SS,4700,TB@TEX 06/01/2022 08:05PM ET,TB,7.48
SS,Luis Urias (22903952),Luis Urias,22903952,SS,4600,MIL@CHC 06/01/2022 08:05PM ET,MIL,7.65
SS,Bo Bichette (22903961),Bo Bichette,22903961,SS,4500,CWS@TOR 06/01/2022 07:07PM ET,TOR,7.65
SS,J.P. Crawford (22903967),J.P. Crawford,22903967,SS,4300,SEA@BAL 06/01/2022 07:05PM ET,SEA,6.94
SS,Kyle Farmer (22903970),Kyle Farmer,22903970,SS,4300,CIN@BOS 06/01/2022 07:10PM ET,CIN,6.9
SS,Javier Baez (22903966),Javier Baez,22903966,SS,4300,MIN@DET 06/01/2022 07:10PM ET,DET,4.8
SS,Kevin Newman (22904014),Kevin Newman,22904014,SS,3700,PIT@LAD 06/01/2022 08:10PM ET,PIT,6.14
SS,Isiah Kiner-Falefa (22904037),Isiah Kiner-Falefa,22904037,SS,3400,LAA@NYY 06/01/2022 07:05PM ET,NYY,5.54
SS,Nico Hoerner (22904045),Nico Hoerner,22904045,SS,3300,MIL@CHC 06/01/2022 08:05PM ET,CHC,6.2
SS,Jorge Mateo (22904056),Jorge Mateo,22904056,SS,3200,SEA@BAL 06/01/2022 07:05PM ET,BAL,6.4
SS,Rodolfo Castro (22904101),Rodolfo Castro,22904101,SS,2800,PIT@LAD 06/01/2022 08:10PM ET,PIT,4.22
SS,Andrew Velazquez (22904151),Andrew Velazquez,22904151,SS,2400,LAA@NYY 06/01/2022 07:05PM ET,LAA,5.17
SS,Royce Lewis (22904144),Royce Lewis,22904144,SS,2400,MIN@DET 06/01/2022 07:10PM ET,MIN,7
SS,Richie Martin (22904277),Richie Martin,22904277,SS,2300,SEA@BAL 06/01/2022 07:05PM ET,BAL,0
SS,Zack Short (22904286),Zack Short,22904286,SS,2100,MIN@DET 06/01/2022 07:10PM ET,DET,0
